nama_produk,badges,count_rating,disc_percent,harga,rating,rating_avg,nama_toko,lokasi,official,powerbadge,terjual
Parsel Ramadan Tatuis Mukena Masker Totebag Dan Dus Hampers,Official Store,15,35,259350,5,4.7,Tatuis,Jakarta,True,True,30
PAKET HAMPERS LEBARAN/PRINTINGUV/GIFT SET CUSTOM/DIAMOND PACKAGE,No Badges,0,0,120000,0,,Hnc Print Surabaya,Surabaya,False,False,0
"Box Hampers Botol Lebaran 1 Liter Dus Jar Idul Fitri 9,5x 9,5x26 cm",Power Merchant Pro Badge,0,0,13900,0,,Deddy Gunawan shop,Jakarta,False,True,0
ALB-250 : Box Kue Kering / Box Parcel Lebaran (per buah) Min 5 buah,Power Merchant Pro Badge,3,0,14000,5,5.0,Pita Renda,Bodetabek,False,True,60
"Hampers ramadhan lebaran parcel murah, keboen keyang Paket F",Power Merchant Pro Badge,0,0,54500,0,,Keboen Keyang,Jakarta,False,True,0
parcel tea set lebaran vz,Power Badge,1,0,700000,5,5.0,muchiku collection,Bodetabek,False,True,2
hampers lebaran/hardbox lebaran/box kubah/hampers box,Power Badge,1,0,250000,4,4.0,Chloe boetik,Kab. Malang,False,True,3
SZ250 Box Kue Kering Toplesgram bulat Hampers Parcel lebaran Idul Fitr,Power Badge,0,0,92000,0,,Kasmiati,Jakarta,False,True,0
parcel / bingkisan / hampers/ kue idul fitri B1,Power Merchant Pro Badge,0,0,200000,0,,tokokalsumajaya,Surabaya,False,True,0
paket kacang Lebaran parcel kacang lebaran Shakeela kacang,Power Merchant Pro Badge,82,0,55000,5,4.7,DKmartexpress,Semarang,False,True,250
Le Senteurs HOME GIFT / Hampers Lebaran / parcel ramadan / idul fitri,Power Merchant Pro Badge,1,5,384750,5,5.0,Le Senteurs,Jakarta,False,True,10
Paket box hampers lebaran parcel idul fitri ramadhan kue kering 0180,Power Merchant Pro Badge,2,0,375000,5,5.0,SJ'STORE,Jakarta,False,True,4
